60	59	07.0	184	0	32.9	123	1	25.9
47	42	20.8	303	1	25.9	255	19	05.1
71	18	31.5	75	19	05.1	4	0	32.9
49	47	37.1	233	48	10.0	184	0	32.9
76	21	29.0	130	9	38.7	53	48	10.0
53	50	54.2	-49	47	37.1	76	21	29.0
60	11	07.0	190	20	44.6	130	9	38.7
48	03	51.0	-60	11	07.0	71	45	03.6
71	45	03.6	210	9	38.7	238	24	35.4
46	20	24.0	104	44	59.6	58	24	35.4
45	32	25.8	330	17	23.1	284	44	59.6
88	07	11.0	238	24	35.4	150	17	23.1
61	23	58.1	-43	37	45.0	74	58	18.0
43	37	45.0	255	19	05.1	211	41	20.1
74	58	18.0	150	17	23.1	75	19	05.1
49	20	18.0	284	44	59.6	235	24	41.9
82	50	35.1	-49	20	18.0	47	49	07.6
47	49	07.6	152	34	04.8	104	44	59.6
63	22	07.5	332	34	04.8	269	11	57.2
54	12	45.0	89	11	57.2	34	59	12.3
62	25	08.0	214	59	12.3	152	34	04.8
42	32	28.5	-57	56	33.3	-79	30	58.0
57	56	33.3	172	26	43.7	114	30	10.3
79	30	58.0	294	30	10.3	214	59	12.3
57	36	14.6	114	30	10.3	56	53	56.0
46	33	12.5	236	53	56.0	190	20	44.6
75	50	33.1	190	20	44.6	114	30	10.3
