0	0	0	0	0	0	0	0	3.871	-55.232
0	0	0	0	0	0	0	0	-45.304	11.87
0	0	0	0	0	0	0	0	-41.433	-43.362
0	0	0	0	53.774	-39.353	0	0	-3.871	55.232
0	0	0	0	107.615	6.083	0	0	-53.841	-45.436
0	0	0	0	161.389	33.27	0	0	57.712	-9.796
0	0	0	0	-63.751	8.851	9.91	-54.287	53.841	45.436
0	0	0	0	117.592	36.585	-61.363	85.749	-56.229	-120.514
0	0	0	0	-53.841	-45.436	51.453	-31.462	2.388	75.078
41.714	10.982	0	0	0	0	-93.167	20.66	51.453	-31.642
12.179	40.777	0	0	0	0	-41.714	-10.982	29.535	51.759
-29.535	-51.759	0	0	0	0	-51.453	31.642	80.988	20.117
-7.17	-87.986	0	0	0	0	0	0	-61.073	75.499
-22.365	36.227	0	0	0	0	0	0	45.304	-11.87
29.535	51.759	0	0	0	0	0	0	15.769	-63.629
5.88	-43.77	0	0	0	0	41.714	10.982	0	0
35.834	54.752	0	0	0	0	-57.435	28.107	0	0
-41.714	-10.982	0	0	0	0	15.721	-39.089	0	0
0	0	0	0	0	0	25.993	50.071	0	0
0	0	0	0	0	0	-29.358	41.948	0	0
0	0	0	0	0	0	55.351	-8.123	0	0
0	0	122.602	96.983	0	0	-146.158	-11.288	0	0
0	0	-64.202	-70.365	0	0	58.4	26.618	0	0
0	0	-58.4	-26.618	0	0	87.758	-15.33	0	0
0	0	18.144	52.862	40.256	-26.244	-58.4	-26.618	0	0
0	0	-40.256	26.244	50.166	-80.531	-9.91	54.287	0	0
0	0	58.4	26.618	9.91	-54.287	-68.31	27.669	0	0
