102600		86000		100000		90000
102600		86000		100771.945	83502.025
102600		86000		98883.726	85739.537
100000		90000		95877.481	87454.981
100000		90000		98883.726	85739.537
95877.481	87454.981	93850.190	84514.977
95877.481	87454.981	97094.926	82830.765
95877.481	87454.981	98883.726	85739.537
93850.190	84514.977	93794.365	80520.825
93850.190	84514.977	97094.926	82830.765
93794.365	80520.825	97094.926	82830.765
98427.843	79906.331	93794.365	80520.825
98427.843	79906.331	100771.945	83502.025
98427.843	79906.331	97094.926	82830.765
100771.945	83502.025	97094.926	82830.765
100771.945	83502.025	98883.726	85739.537
98883.726	85739.537	97094.926	82830.765
